t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
2.16296,0.56245,176.123,-1.562,-175.332,-0.09031,0.22671,0.56245,8,0.03419669,34.19669
2.19438,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.23104,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.26585,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
2.29503,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.33185,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.36336,0.56279,176.06,-1.638,-175.272,-0.09057,0.22674,0.56279,8,0.03385669,33.85669
2.39615,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.43271,0.56274,176.439,-1.582,-175.314,-0.09058,0.22689,0.56274,8,0.03390669,33.90669
2.46257,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.49632,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.53106,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
2.56404,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.59669,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.63178,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
2.66314,0.56264,176.197,-1.575,-175.313,-0.0905,0.22679,0.56264,8,0.03400669,34.00669
2.69622,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
2.73536,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.76259,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
2.79951,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.83449,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
2.86291,0.56332,176.139,-1.373,-175.316,-0.09036,0.22673,0.56332,8,0.03332669,33.32669
2.90074,0.56291,176.367,-1.498,-175.245,-0.09077,0.22686,0.56291,8,0.03373669,33.73669
2.93132,0.56194,176.287,-1.655,-175.388,-0.09019,0.22656,0.56194,8,0.03470669,34.70669
2.96421,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.99893,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
3.03471,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
3.06298,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
3.10040,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
3.13235,0.56218,176.256,-2.109,-175.274,-0.09096,0.22676,0.56218,8,0.03446669,34.46669
3.20000,0.59059,175.205,-1.471,-175.256,-0.09358,0.23486,0.59059,8,0.00605669,6.05669
3.23207,0.60015,175.105,0.284,-175.85,-0.08391,0.23759,0.60015,8,-0.00350331,-3.50331
3.26363,0.59199,175.311,0.299,-175.607,-0.08235,0.23429,0.59199,8,0.00465669,4.65669
3.29888,0.59459,174.83,1.204,-176.073,-0.07915,0.23447,0.59459,8,0.00205669,2.05669
3.33053,0.59396,176.976,-0.204,-176.476,-0.07836,0.23468,0.59396,8,0.00268669,2.68669
3.36237,0.59358,177.415,-0.182,-176.603,-0.07858,0.23479,0.59358,8,0.00306669,3.06669
3.39863,0.59388,176.734,-0.087,-176.558,-0.07898,0.23465,0.59388,8,0.00276669,2.76669
3.43065,0.59425,176.356,-0.209,-176.728,-0.07907,0.23441,0.59425,8,0.00239669,2.39669
3.46377,0.59312,177.103,-0.301,-176.871,-0.0781,0.23433,0.59312,8,0.00352669,3.52669
3.49888,0.5934,176.926,-0.415,-177.06,-0.07806,0.23413,0.5934,8,0.00324669,3.24669
3.53226,0.59358,176.64,-0.354,-176.855,-0.07844,0.2343,0.59358,8,0.00306669,3.06669
3.56935,0.59347,176.833,-0.232,-176.951,-0.07796,0.23447,0.59347,8,0.00317669,3.17669
3.59854,0.59188,177.235,-0.372,-176.952,-0.07821,0.23452,0.59188,8,0.00476669,4.76669
3.63220,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
3.66749,0.59239,176.892,-0.199,-176.96,-0.07796,0.23433,0.59239,8,0.00425669,4.25669
3.69841,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
3.73056,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
3.76774,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
3.80057,0.59156,177.099,-0.536,-176.895,-0.07825,0.23402,0.59156,8,0.00508669,5.08669
3.83694,0.59225,177.064,-0.082,-176.997,-0.0779,0.23407,0.59225,8,0.00439669,4.39669
3.86662,0.59292,176.844,-0.061,-176.857,-0.07822,0.23455,0.59292,8,0.00372669,3.72669
3.89918,0.59263,177.465,-0.029,-176.916,-0.07813,0.23433,0.59263,8,0.00401669,4.01669
3.93543,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
3.96834,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
3.99879,0.59188,177.244,-0.358,-176.952,-0.07821,0.23421,0.59188,8,0.00476669,4.76669
4.03508,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
